intent,target_intent,style,canonical_command
pc_shutdown__standard,pc_shutdown,standard,apaga la pc
pc_shutdown__gamer,pc_shutdown,gamer,nox apaga la pc para la partida
pc_shutdown__dev,pc_shutdown,dev,nox apaga la pc para codear
pc_shutdown__procrastinator,pc_shutdown,procrastinator,che apaga la pc que estoy procrastinando
pc_shutdown__quick,pc_shutdown,quick,apaga la pc ya
pc_restart__standard,pc_restart,standard,reinicia la pc
pc_restart__gamer,pc_restart,gamer,nox reinicia la pc para la partida
pc_restart__dev,pc_restart,dev,nox reinicia la pc para codear
pc_restart__procrastinator,pc_restart,procrastinator,che reinicia la pc que estoy procrastinando
pc_restart__quick,pc_restart,quick,reinicia la pc ya
pc_sleep__standard,pc_sleep,standard,pon la pc en suspension
pc_sleep__gamer,pc_sleep,gamer,nox pon la pc en suspension para la partida
pc_sleep__dev,pc_sleep,dev,nox pon la pc en suspension para codear
pc_sleep__procrastinator,pc_sleep,procrastinator,che pon la pc en suspension que estoy procrastinando
pc_sleep__quick,pc_sleep,quick,pon la pc en suspension ya
pc_hibernate__standard,pc_hibernate,standard,hiberna la pc
pc_hibernate__gamer,pc_hibernate,gamer,nox hiberna la pc para la partida
pc_hibernate__dev,pc_hibernate,dev,nox hiberna la pc para codear
pc_hibernate__procrastinator,pc_hibernate,procrastinator,che hiberna la pc que estoy procrastinando
pc_hibernate__quick,pc_hibernate,quick,hiberna la pc ya
pc_lock__standard,pc_lock,standard,bloquea la pc
pc_lock__gamer,pc_lock,gamer,nox bloquea la pc para la partida
pc_lock__dev,pc_lock,dev,nox bloquea la pc para codear
pc_lock__procrastinator,pc_lock,procrastinator,che bloquea la pc que estoy procrastinando
pc_lock__quick,pc_lock,quick,bloquea la pc ya
set_volume__standard,set_volume,standard,pon el volumen al 70
set_volume__gamer,set_volume,gamer,nox pon el volumen al 70 para la partida
set_volume__dev,set_volume,dev,nox pon el volumen al 70 para codear
set_volume__procrastinator,set_volume,procrastinator,che pon el volumen al 70 que estoy procrastinando
set_volume__quick,set_volume,quick,pon el volumen al 70 ya
volume_up__standard,volume_up,standard,sube el volumen
volume_up__gamer,volume_up,gamer,nox sube el volumen para la partida
volume_up__dev,volume_up,dev,nox sube el volumen para codear
volume_up__procrastinator,volume_up,procrastinator,che sube el volumen que estoy procrastinando
volume_up__quick,volume_up,quick,sube el volumen ya
volume_down__standard,volume_down,standard,baja el volumen
volume_down__gamer,volume_down,gamer,nox baja el volumen para la partida
volume_down__dev,volume_down,dev,nox baja el volumen para codear
volume_down__procrastinator,volume_down,procrastinator,che baja el volumen que estoy procrastinando
volume_down__quick,volume_down,quick,baja el volumen ya
volume_mute__standard,volume_mute,standard,silencia el volumen
volume_mute__gamer,volume_mute,gamer,nox silencia el volumen para la partida
volume_mute__dev,volume_mute,dev,nox silencia el volumen para codear
volume_mute__procrastinator,volume_mute,procrastinator,che silencia el volumen que estoy procrastinando
volume_mute__quick,volume_mute,quick,silencia el volumen ya
volume_unmute__standard,volume_unmute,standard,quita el silencio
volume_unmute__gamer,volume_unmute,gamer,nox quita el silencio para la partida
volume_unmute__dev,volume_unmute,dev,nox quita el silencio para codear
volume_unmute__procrastinator,volume_unmute,procrastinator,che quita el silencio que estoy procrastinando
volume_unmute__quick,volume_unmute,quick,quita el silencio ya
set_brightness__standard,set_brightness,standard,pon el brillo al 60
set_brightness__gamer,set_brightness,gamer,nox pon el brillo al 60 para la partida
set_brightness__dev,set_brightness,dev,nox pon el brillo al 60 para codear
set_brightness__procrastinator,set_brightness,procrastinator,che pon el brillo al 60 que estoy procrastinando
set_brightness__quick,set_brightness,quick,pon el brillo al 60 ya
brightness_up__standard,brightness_up,standard,sube el brillo
brightness_up__gamer,brightness_up,gamer,nox sube el brillo para la partida
brightness_up__dev,brightness_up,dev,nox sube el brillo para codear
brightness_up__procrastinator,brightness_up,procrastinator,che sube el brillo que estoy procrastinando
brightness_up__quick,brightness_up,quick,sube el brillo ya
brightness_down__standard,brightness_down,standard,baja el brillo
brightness_down__gamer,brightness_down,gamer,nox baja el brillo para la partida
brightness_down__dev,brightness_down,dev,nox baja el brillo para codear
brightness_down__procrastinator,brightness_down,procrastinator,che baja el brillo que estoy procrastinando
brightness_down__quick,brightness_down,quick,baja el brillo ya
wifi_on__standard,wifi_on,standard,activa el wifi
wifi_on__gamer,wifi_on,gamer,nox activa el wifi para la partida
wifi_on__dev,wifi_on,dev,nox activa el wifi para codear
wifi_on__procrastinator,wifi_on,procrastinator,che activa el wifi que estoy procrastinando
wifi_on__quick,wifi_on,quick,activa el wifi ya
wifi_off__standard,wifi_off,standard,desactiva el wifi
wifi_off__gamer,wifi_off,gamer,nox desactiva el wifi para la partida
wifi_off__dev,wifi_off,dev,nox desactiva el wifi para codear
wifi_off__procrastinator,wifi_off,procrastinator,che desactiva el wifi que estoy procrastinando
wifi_off__quick,wifi_off,quick,desactiva el wifi ya
bluetooth_on__standard,bluetooth_on,standard,activa el bluetooth
bluetooth_on__gamer,bluetooth_on,gamer,nox activa el bluetooth para la partida
bluetooth_on__dev,bluetooth_on,dev,nox activa el bluetooth para codear
bluetooth_on__procrastinator,bluetooth_on,procrastinator,che activa el bluetooth que estoy procrastinando
