text,intent
apaga la pc,pc_shutdown__standard
apaga la pc ahora,pc_shutdown__standard
apaga la pc en este momento,pc_shutdown__standard
apaga la pc por favor,pc_shutdown__standard
nox apaga la pc,pc_shutdown__standard
nox apaga la pc ahora,pc_shutdown__standard
nox apaga la pc en este momento,pc_shutdown__standard
nox apaga la pc por favor,pc_shutdown__standard
por favor apaga la pc,pc_shutdown__standard
por favor apaga la pc ahora,pc_shutdown__standard
bro nox apaga la pc para la partida,pc_shutdown__gamer
bro nox apaga la pc para la partida porfa,pc_shutdown__gamer
nox apaga la pc para la partida,pc_shutdown__gamer
nox apaga la pc para la partida ahora,pc_shutdown__gamer
nox apaga la pc para la partida para rankear,pc_shutdown__gamer
nox apaga la pc para la partida porfa,pc_shutdown__gamer
nox nox apaga la pc para la partida,pc_shutdown__gamer
nox nox apaga la pc para la partida ahora,pc_shutdown__gamer
nox nox apaga la pc para la partida para rankear,pc_shutdown__gamer
nox nox apaga la pc para la partida porfa,pc_shutdown__gamer
nox apaga la pc para codear,pc_shutdown__dev
nox apaga la pc para codear antes del deploy,pc_shutdown__dev
nox apaga la pc para codear en este sprint,pc_shutdown__dev
nox apaga la pc para codear para laburar,pc_shutdown__dev
nox nox apaga la pc para codear,pc_shutdown__dev
nox nox apaga la pc para codear antes del deploy,pc_shutdown__dev
nox nox apaga la pc para codear en este sprint,pc_shutdown__dev
nox nox apaga la pc para codear para laburar,pc_shutdown__dev
por favor nox apaga la pc para codear,pc_shutdown__dev
por favor nox apaga la pc para codear para laburar,pc_shutdown__dev
che apaga la pc que estoy procrastinando,pc_shutdown__procrastinator
che apaga la pc que estoy procrastinando antes de perder tiempo,pc_shutdown__procrastinator
che apaga la pc que estoy procrastinando que me distraigo,pc_shutdown__procrastinator
che apaga la pc que estoy procrastinando sin vueltas,pc_shutdown__procrastinator
nox che apaga la pc que estoy procrastinando,pc_shutdown__procrastinator
nox che apaga la pc que estoy procrastinando antes de perder tiempo,pc_shutdown__procrastinator
nox che apaga la pc que estoy procrastinando que me distraigo,pc_shutdown__procrastinator
nox che apaga la pc que estoy procrastinando sin vueltas,pc_shutdown__procrastinator
porfa che apaga la pc que estoy procrastinando,pc_shutdown__procrastinator
porfa che apaga la pc que estoy procrastinando que me distraigo,pc_shutdown__procrastinator
apaga la pc ya,pc_shutdown__quick
apaga la pc ya ahora,pc_shutdown__quick
apaga la pc ya rapido,pc_shutdown__quick
apaga la pc ya sin demora,pc_shutdown__quick
nox ya apaga la pc ya,pc_shutdown__quick
nox ya apaga la pc ya ahora,pc_shutdown__quick
ya apaga la pc ya,pc_shutdown__quick
ya apaga la pc ya ahora,pc_shutdown__quick
ya apaga la pc ya rapido,pc_shutdown__quick
ya apaga la pc ya sin demora,pc_shutdown__quick
nox reinicia la pc,pc_restart__standard
nox reinicia la pc ahora,pc_restart__standard
nox reinicia la pc en este momento,pc_restart__standard
nox reinicia la pc por favor,pc_restart__standard
por favor reinicia la pc,pc_restart__standard
por favor reinicia la pc ahora,pc_restart__standard
reinicia la pc,pc_restart__standard
reinicia la pc ahora,pc_restart__standard
reinicia la pc en este momento,pc_restart__standard
reinicia la pc por favor,pc_restart__standard
bro nox reinicia la pc para la partida,pc_restart__gamer
bro nox reinicia la pc para la partida porfa,pc_restart__gamer
nox nox reinicia la pc para la partida,pc_restart__gamer
nox nox reinicia la pc para la partida ahora,pc_restart__gamer
nox nox reinicia la pc para la partida para rankear,pc_restart__gamer
nox nox reinicia la pc para la partida porfa,pc_restart__gamer
nox reinicia la pc para la partida,pc_restart__gamer
nox reinicia la pc para la partida ahora,pc_restart__gamer
nox reinicia la pc para la partida para rankear,pc_restart__gamer
nox reinicia la pc para la partida porfa,pc_restart__gamer
nox nox reinicia la pc para codear,pc_restart__dev
nox nox reinicia la pc para codear antes del deploy,pc_restart__dev
nox nox reinicia la pc para codear en este sprint,pc_restart__dev
nox nox reinicia la pc para codear para laburar,pc_restart__dev
nox reinicia la pc para codear,pc_restart__dev
nox reinicia la pc para codear antes del deploy,pc_restart__dev
nox reinicia la pc para codear en este sprint,pc_restart__dev
nox reinicia la pc para codear para laburar,pc_restart__dev
por favor nox reinicia la pc para codear,pc_restart__dev
por favor nox reinicia la pc para codear para laburar,pc_restart__dev
che reinicia la pc que estoy procrastinando,pc_restart__procrastinator
che reinicia la pc que estoy procrastinando antes de perder tiempo,pc_restart__procrastinator
che reinicia la pc que estoy procrastinando que me distraigo,pc_restart__procrastinator
